; Start Marseille - (LFMM) - Regions
;LFMM_Water
REGIONNAME Marseille Waters
smrWater N041.17.40.840 E007.01.32.494
N041.55.25.941 E008.45.55.975
N041.55.36.656 E008.45.48.768
N041.55.50.050 E008.45.41.559
N041.55.58.086 E008.45.37.953
N041.56.08.802 E008.45.34.346
N041.56.08.795 E008.45.12.736
N041.56.00.754 E008.45.01.937
N041.55.44.679 E008.45.01.947
N041.55.33.962 E008.45.01.955
N041.55.23.244 E008.44.58.361
N041.55.23.237 E008.44.40.356
N041.55.23.231 E008.44.25.953
N041.55.12.510 E008.44.15.160
N041.55.01.788 E008.44.04.368
N041.54.48.390 E008.44.00.780
N041.54.37.668 E008.43.49.990
N041.54.29.627 E008.43.42.798
N041.54.24.260 E008.43.28.404
N041.54.18.893 E008.43.14.011
N041.54.18.879 E008.42.52.412
N041.54.18.866 E008.42.34.413
N041.54.18.856 E008.42.20.014
N041.54.18.842 E008.42.02.015
N041.54.16.151 E008.41.47.620
N041.54.13.456 E008.41.29.626
N041.54.08.084 E008.41.15.236
N041.54.02.713 E008.41.00.847
N041.53.54.657 E008.40.42.863
N041.53.51.960 E008.40.24.871
N041.53.51.928 E008.39.56.075
N041.53.57.262 E008.39.34.467
N041.54.02.603 E008.39.20.057
N041.54.07.944 E008.39.05.647
N041.54.13.289 E008.38.54.835
N041.54.07.902 E008.38.33.248
N041.54.05.203 E008.38.18.855
N041.54.05.178 E008.38.00.856
N041.54.05.147 E008.37.39.256
N041.54.05.126 E008.37.24.856
N041.53.57.066 E008.37.10.477
N041.53.49.011 E008.36.59.699
N041.53.46.309 E008.36.45.306
N041.53.51.650 E008.36.34.492
N041.54.05.029 E008.36.23.653
N041.54.21.099 E008.36.20.007
N041.54.31.817 E008.36.19.976
N041.54.47.898 E008.36.23.530
N041.55.01.295 E008.36.23.492
N041.55.12.018 E008.36.27.062
N041.55.25.420 E008.36.30.625
N041.55.36.143 E008.36.34.195
N041.55.46.871 E008.36.41.368
N041.55.52.207 E008.36.26.945
N041.56.05.586 E008.36.16.100
N041.56.18.982 E008.36.16.060
N041.56.27.009 E008.36.08.831
N041.56.32.349 E008.35.58.007
N041.56.48.425 E008.35.57.958
N041.56.56.445 E008.35.47.124
N041.56.56.421 E008.35.32.711
N041.56.59.063 E008.35.11.083
N041.57.07.088 E008.35.03.850
N041.57.20.492 E008.35.07.409
N041.57.31.216 E008.35.10.977
N041.57.41.958 E008.35.25.357
N041.57.47.329 E008.35.32.548
N041.57.58.065 E008.35.43.325
N041.58.06.127 E008.35.57.716
N041.58.11.509 E008.36.12.116
N041.58.11.538 E008.36.30.137
N041.58.11.560 E008.36.44.554
N041.58.08.912 E008.37.06.185
N041.58.06.259 E008.37.24.212
N041.58.03.605 E008.37.42.239
N041.58.03.625 E008.37.56.653
N041.58.03.654 E008.38.18.276
N041.58.09.031 E008.38.32.677
N041.58.17.087 E008.38.47.073
N041.58.19.793 E008.39.08.689
N041.58.25.168 E008.39.23.093
N041.58.30.543 E008.39.37.497
N041.58.43.956 E008.39.51.885
N041.58.54.677 E008.39.55.467
N041.59.05.399 E008.39.59.049
N041.59.16.117 E008.39.59.027
N041.59.21.460 E008.39.44.597
N041.59.21.440 E008.39.26.573
N041.59.26.782 E008.39.12.142
N041.59.42.859 E008.39.12.105
N041.59.53.578 E008.39.12.081
N042.00.04.296 E008.39.12.057
N042.00.17.703 E008.39.19.238
N042.00.25.750 E008.39.26.431
N042.00.39.161 E008.39.37.220
N042.00.49.892 E008.39.48.016
N042.01.00.615 E008.39.51.599
N042.01.08.666 E008.40.02.402
N042.01.16.717 E008.40.13.206
N042.01.27.452 E008.40.27.612
N042.01.32.822 E008.40.38.423
N042.01.35.516 E008.40.52.846
N042.01.38.209 E008.41.07.269
N042.01.40.902 E008.41.21.693
N042.01.46.275 E008.41.36.113
N042.01.48.967 E008.41.50.538
N042.01.48.981 E008.42.08.574
N042.01.48.995 E008.42.26.610
N042.01.51.686 E008.42.41.036
N042.02.02.411 E008.42.48.237
N042.02.13.127 E008.42.41.009
N042.02.21.170 E008.42.44.606
N042.02.26.543 E008.43.02.639
N042.02.39.582 E008.43.50.563
N042.02.39.584 E008.43.54.172
N042.02.39.593 E008.44.08.608
N042.02.44.965 E008.44.23.040
N042.02.44.972 E008.44.37.477
N042.02.53.023 E008.44.48.298
N042.03.06.433 E008.44.48.290
N042.03.19.841 E008.44.44.671
N042.03.27.885 E008.44.41.056
N042.03.38.605 E008.44.26.610
N042.03.41.277 E008.44.08.559
N042.03.38.585 E008.43.50.513
N042.03.38.571 E008.43.28.854
N042.03.41.243 E008.43.14.412
N042.03.54.645 E008.43.07.179
N042.04.02.690 E008.43.07.171
N042.04.16.097 E008.43.07.158
N042.04.26.825 E008.43.10.757
N042.04.40.231 E008.43.10.744
N042.04.50.953 E008.43.07.122
N042.04.58.988 E008.42.56.282
N042.05.01.655 E008.42.38.224
N042.05.04.324 E008.42.23.778
N042.05.06.992 E008.42.09.331
N042.05.12.345 E008.41.58.491
N042.05.23.075 E008.42.05.700
N042.05.36.482 E008.42.09.294
N042.05.44.524 E008.42.09.284
N042.05.55.244 E008.42.05.659
N042.06.05.973 E008.42.12.869
N042.06.16.692 E008.42.09.244
N042.06.27.404 E008.41.58.395
N042.06.35.435 E008.41.47.548
N042.06.35.418 E008.41.29.487
N042.06.24.685 E008.41.18.665
N042.06.13.963 E008.41.18.681
N042.06.05.910 E008.41.07.857
N042.06.00.533 E008.40.53.417
N042.06.00.513 E008.40.35.358
N042.05.57.811 E008.40.17.302
N042.05.52.432 E008.40.02.863
N042.05.55.095 E008.39.48.411
N042.06.05.808 E008.39.41.167
N042.06.19.202 E008.39.33.919
N042.06.29.920 E008.39.30.287
N042.06.40.632 E008.39.23.042
N042.06.48.654 E008.39.08.575
N042.06.51.319 E008.38.57.731
N042.06.56.649 E008.38.36.042
N042.07.04.674 E008.38.25.185
N042.07.10.008 E008.38.07.107
N042.07.09.985 E008.37.52.653
N042.07.12.642 E008.37.38.192
N042.07.20.672 E008.37.30.946
N042.07.23.328 E008.37.16.485
N042.07.25.972 E008.36.54.794
N042.07.25.940 E008.36.36.724
N042.07.33.955 E008.36.22.246
N042.07.44.664 E008.36.14.989
N042.07.44.637 E008.36.00.530
N042.07.44.596 E008.35.38.842
N042.07.44.567 E008.35.24.383
N042.07.47.219 E008.35.09.915
N042.07.55.239 E008.34.59.046
N042.08.05.975 E008.35.06.246
N042.08.14.045 E008.35.20.684
N042.08.22.100 E008.35.27.892
N042.08.30.126 E008.35.20.638
N042.08.30.091 E008.35.02.560
N042.08.24.701 E008.34.48.113
N042.08.19.310 E008.34.33.666
N042.08.19.280 E008.34.19.203
N042.08.21.929 E008.34.04.731
N042.08.27.266 E008.33.53.865
N042.08.35.283 E008.33.42.991
N042.08.48.669 E008.33.35.714
N042.08.59.391 E008.33.35.678
N042.09.04.783 E008.33.50.127
N042.09.12.870 E008.34.11.801
N042.09.15.566 E008.34.19.026
N042.09.20.971 E008.34.40.709
N042.09.21.007 E008.34.58.791
N042.09.23.715 E008.35.13.249
N042.09.29.096 E008.35.24.082
N042.09.42.510 E008.35.31.275
N042.09.47.842 E008.35.16.793
N042.09.45.127 E008.34.58.718
N042.09.45.099 E008.34.44.250
N042.09.39.702 E008.34.26.183
N042.09.42.344 E008.34.08.089
N042.09.47.674 E008.33.53.603
N042.09.55.707 E008.33.49.958
N042.10.06.457 E008.34.04.393
N042.10.11.832 E008.34.11.610
N042.10.19.865 E008.34.07.966
N042.10.19.827 E008.33.49.877
N042.10.25.164 E008.33.39.005
N042.10.35.884 E008.33.38.969
N042.10.43.939 E008.33.46.177
N042.10.54.682 E008.33.56.995
N042.11.00.064 E008.34.07.832
N042.11.08.126 E008.34.18.660
N042.11.21.539 E008.34.25.852
N042.11.32.266 E008.34.29.435
N042.11.45.665 E008.34.29.390
N042.11.53.690 E008.34.22.126
N042.11.56.341 E008.34.07.641
N042.11.58.991 E008.33.53.155
N042.12.09.703 E008.33.49.497
N042.12.20.437 E008.33.56.699
N042.12.25.819 E008.34.07.539
N042.12.33.844 E008.34.00.271
N042.12.41.911 E008.34.14.722
N042.12.49.965 E008.34.21.934
N042.12.55.296 E008.34.07.436
N042.12.57.940 E008.33.49.325
N042.13.05.994 E008.33.56.537
N042.13.19.407 E008.34.03.730
N042.13.30.119 E008.34.00.071
N042.13.38.151 E008.33.56.421
N042.13.40.795 E008.33.38.307
N042.13.40.758 E008.33.20.202
N042.13.40.721 E008.33.02.096
N042.13.40.675 E008.32.40.368
N042.13.43.332 E008.32.29.492
N042.13.51.340 E008.32.14.973
N042.14.02.044 E008.32.07.685
N042.14.12.764 E008.32.07.640
N042.14.18.163 E008.32.25.729
N042.14.20.889 E008.32.47.451
N042.14.23.607 E008.33.05.551
N042.14.23.643 E008.33.23.660
N042.14.26.345 E008.33.34.515
N042.14.26.380 E008.33.52.623
N042.14.26.408 E008.34.07.110
N042.14.26.442 E008.34.25.217
N042.14.29.148 E008.34.39.693
