BIRSO N047.49.56.798 W000.30.53.500
BISBA N042.05.11.000 E003.37.32.902
BISBI N044.03.55.001 E002.27.22.000
BISBO N043.27.44.399 E007.09.48.499
BISKI N042.46.34.900 E008.47.30.998
BIVLO N046.11.49.999 E006.15.14.000
BIVSO N045.09.58.000 E001.18.34.999
BK402 N046.18.26.899 E002.15.11.902
BK404 N046.22.55.898 E002.13.43.500
BK410 N046.11.54.600 E002.22.18.502
BK412 N046.24.33.599 E002.09.19.400
BK414 N046.25.40.800 E001.57.52.402
BK416 N046.24.41.101 E002.25.32.700
BL410 N045.52.54.300 E001.11.60.000
BL502 N046.05.01.000 E001.14.49.801
BL504 N045.59.32.100 E001.26.49.999
BL512 N045.50.29.699 E001.09.44.302
BLONA N045.00.31.000 E006.46.37.999
BM401 N043.55.29.600 W000.07.00.502
BM402 N044.00.15.001 W000.14.15.202
BM403 N043.50.15.601 W000.13.35.101
BM404 N043.55.15.301 W000.13.55.200
BM405 N043.55.01.499 W000.20.49.801
BM406 N043.54.26.399 W000.37.35.900
BM407 N044.00.55.901 W000.38.02.000
BM415 N043.55.01.499 W000.20.50.500
BM421 N043.59.04.200 W000.47.47.000
BM422 N043.55.13.102 W000.15.18.101
BM423 N043.59.55.500 W000.23.57.800
BM424 N043.54.04.601 W000.47.26.002
BM425 N043.54.20.002 W000.40.31.598
BM426 N043.54.51.599 W000.25.41.300
BMC23 N045.05.50.410 W000.20.18.431
BMC28 N045.17.30.368 W000.46.43.399
BMC29 N045.09.55.490 W000.14.05.438
BMC30 N045.18.54.641 W000.54.12.240
BMC35 N044.55.14.380 E000.05.18.809
BMC39 N044.55.51.449 E000.10.52.550
BN408 N046.21.32.699 W000.14.07.598
BN410 N046.17.43.102 W000.27.26.302
BO320 N043.43.19.999 E001.15.51.998
BO322 N043.46.16.500 E001.15.03.100
BO323 N044.07.35.000 E001.14.19.601
BO421 N043.33.40.399 E001.26.03.998
BO423 N043.32.23.899 E001.17.23.899
BO504 N043.49.42.802 E001.09.27.900
BO505 N043.49.35.699 E001.09.18.900
BO506 N043.44.42.400 E001.27.48.899
BO507 N043.46.11.399 E001.04.44.299
BO508 N043.52.11.201 E001.06.34.999
BO509 N043.51.51.599 E001.15.05.198
BO512 N043.33.37.400 E001.25.58.598
BO513 N043.34.18.901 E001.31.55.600
BO514 N043.40.23.300 E001.32.19.201
BO515 N043.50.05.302 E001.25.07.900
BO602 N043.23.42.299 E001.28.26.299
